11006,CHALUKYA EXP
11007,DECCAN EXPRE
11008,DECCAN EXPRE
11009,SINHAGAD EXP
11010,SINHAGAD EXP
11011,LTT-NED EXPR
11012,NED-LTT  EXP
11013,COIMBATORE E
11014,LOKMANYA TT
11015,KUSHINAGAR E
11016,KUSHINAGAR E
11017,LTT-KIK WEEK
11018,KARAIKAL LTT
11019,KONARK EXPRE
11020,KONARK EXPRE
11021,DR-TEN EXPRE
11022,TEN - DR EXP
11023,SAHYADRI EXP
11024,SAHYADRI EXP
11025,BSL-PUNE EXP
11026,PUNE-BSL EXP
11027,CSMT-MAS MAI
11028,MAS-CSMT MUM
11029,KOYNA EXPRES
11030,KOYNA EXPRES
11031,SUR-BJP EPXR
11032,BJP-SUR EXPR
11033,PUNE-DBG EXP
11034,DBG-PUNE EXP
11035,SHARAVATHI E
11036,SHARAVATI EX
11037,PUNE-GKP EXP
11038,GKP-PUNE EXP
11039,MAHARASHTRA
11040,MAHARASHTRA
11041,CSMT -MAS EX
11042,MAS-CSMT MUM
11043,LTT-MADURAI
11044,LOKAMANYA TT
11045,DIKSHABHOOMI
11046,DIKSHABHUMI
11047,MRJ UBL EXP
11048,UBL MRJ EXPR
11049,ADI-KOP EXPR
11050,KOP-ADI EXPR
11051,SUR - KOP EX
11052,KOP - SUR EX
11053,LTT-AMH EXPR
11054,AMH-LTT EXPR
11055,GODAN EXPRES
11056,GODAN EXPRES
11057,AMRITSAR EXP
11058,ASR CSMT EXP
11059,CHHAPRA EXPR
11060,CPR LTT EXPR
11061,LTT-DBG  EXP
11062,DBG  LTT EXP
11063,MS SA SUPER
11064,SA MS SUPERF
11067,SAKET EXPRES
11068,SAKET EXPRES
11071,KAMAYANI EXP
11072,KAMAYANI EXP
11073,LTT-MAS EXPR
11074,CHENNAI - LT
11075,LTT-BIDR EXP
11076,BIDR-LTT EXP
11077,JHELUM EXPRE
11078,JHELUM EXPRE
11079,LTT-GKP EXPR
11080,GKP-LTT EXPR
11081,LTT-GKP VIA
11082,GKP-LTT VIA
11083,LTT-KZJ TADO
11084,KZJ-LTT TADO
11085,LTT-MAO DOUB
11086,MAO-LTT DOUB
11087,VRL-PUNE EXP
11088,PUNE-VRL EXP
11089,BGKTPUNE EXP
11090,PUNE BGKT EX
11091,BHUJ PUNE EX
11092,PUNE BHUJ EX
11093,MAHANAGARI E
11094,MAHANAGARI E
11095,AHIMSA EXPRE
11096,AHIMSA EXPRE
11097,POORNA EXPRE
11098,POORNA EXPRE
11101,PUNE-GWALIOR
11102,GWL-PUNE EXP
11103,JHS-BDTS EXP
11104,BDTS-JHS EXP
11107,BUNDELKHAND
11108,BUNDELKHAND
11109,JHS-LKO INTE
11110,LKO -JHS INT
11111,GWL-BLP SUSH
11112,BLP-GWL SUSH
11123,BARAUNI-GWL
11124,GWALIAR-BJU
11125,IND-GWL EXP
11126,GWL-IND EXP
11201,LTT-AJNI EXP
11202,AJNI-LTT EXP
11203,NAGPUR JAIPU
11204,JAIPUR NAGPU
11205,LTT-NZB EXPR
11206,NZB-LTT WEEK
11265,JBP-ABKP EXP
11266,ABKP-JBP EXP
11272,VINDHYACHAL
11301,UDYAN EXPRES
11302,UDYAN EXP
11303,HYB-KOP EXPR
11304,KOP-HYB EXPR
11307,GR-HYB- INTE
11308,HYB-GR INTER
11309,SUR-MRJ EXP
11310,MRJ-SUR EXP
11401,NANDIGRHAM E
11402,NADHIGRAM EX
11403,NGP-KOP EXPR
11404,KOP-NGP EXPR
11405,PUNE-AMRAVAT
11406,AMRAVAI-PUNE
11407,PUNE-LJN EXP
11408,LJN-PUNE EXP
11423,SUR HUBLI EX
11424,GDG-SUR EXPR
11447,SHAKTIPUNJ E
11448,SHAKTIPUNJ E
11449,JBP-SVDK EXP
11450,SVDK-JBP EXP
11463,SMNH-JBP EXP
11464,JBP -SMNH EX
11465,SMNH-JBP EXP
11466,JBP-SMNH EXP
11651,JBP-SGRL INT
11652,SGRL-JBP INT
11701,JBP-INDB INT
11702,INDB-JBP INT
11703,REWA-DADN  E
11704,INDB-REWA EX
11801,JHS-ETW EXPR
11802,ETW-JHS LINK
11901,MTJ-KKDE EXP
11902,KKDE-MTJ EXP
12001,BPL - NDLS S
12002,NDLS - BPL S
12003,LKO-NDLS SHA
12004,NDLS-LKO SHA
12005,NDLS-KLK- SH
12006,KLK-NDLS SHA
12007,MAS-MYS SHAT
12008,MYS-MAS SHAT
12009,SHATABDI EXP
12010,SHATABDI EXP
12011,NDLS-KLK SHA
12012,KLK-NDLS SHA
12013,NDLS-ASR SHA
12014,ASR-NDLS SHA
12015,NDLS-AII SHA
12016,AII-NDLS SHA
12017,NDLS-DDN SHA
12018,DDN-NDLS SHA
12019,HOWRAH RANCH
12020,RNC HWH SHAT
12021,HOWRAH-BARAB
12022,BARABIL-HOWR
12023,HOWRAH PATNA
12024,PATNA HOWRAH
12025,PUNE-SC SHAT
12026,SC-PUNE SHAT
12027,MAS-SBC SHAT
12028,SBC-MAS SHAT
12029,SWARNA SHATA
12030,SWARNA SHATA
12031,NDLS-ASR-SHA
12032,ASR-NDLS SHA
12033,CNB NDLS SHT
